#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.59354  0.56312  0.77607  0.00000  0.00000  0.01865  0.01473
  3.76902  0.50425  0.85732  0.00000  0.00000 -0.00504  0.02766
  0.72995  0.03997  0.93795  0.00000  0.57695 -0.00810 -0.00266
  5.02145  0.62112  0.72609  0.00000  0.00000  0.01683  0.01519
  5.02296  0.61703  0.72148  0.00000  0.00000 -0.02135  0.00571
  5.26309  0.59470  0.70429  0.00000  0.00000  0.07048 -0.04119
  3.52348  0.46746  0.87566  0.00000  0.00000 -0.02779  0.00292
  4.35878  0.53421  0.79954  0.00000  0.00000 -0.00267  0.00901
  4.51687  0.51237  0.78418  0.00000  0.00000  0.01462 -0.02823
  4.51223  0.55018  0.78175  0.00000  0.00000 -0.01194  0.00738
  5.22344  0.58913  0.70284  0.00000  0.00000  0.01869 -0.04943
  5.31604  0.63131  0.69419  0.00000  0.00000  0.04121 -0.01588
  4.82710  0.58810  0.74658  0.00000  0.00000 -0.00252  0.00740
  3.98339  0.50215  0.84100  0.00000  0.00000  0.02573  0.01319
  1.96292  0.69237  0.92858  0.00000  0.00000 -0.01342  0.00879
  4.63083  0.57946  0.76719  0.00000  0.00000 -0.02112  0.02097
  4.50619  0.53452  0.78453  0.00000  0.00000  0.00702 -0.00577
  3.48095  0.43118  0.88093  0.00000  0.00000  0.00560 -0.03141
  0.61692  0.72524  0.93390  0.00000  0.00000  0.01128 -0.00704
  5.15851  0.64840  0.70940  0.00000  0.00000  0.01068  0.01958
  4.65325  0.58086  0.76858  0.00000  0.00000  0.01342  0.02413
  4.85036  0.52383  0.74636  0.00000  0.00000  0.01893 -0.05711
  5.42035  0.60164  0.67503  0.00000  0.00000 -0.01246 -0.07058
  3.07340  0.44882  0.90425  0.00000  0.00000 -0.00277 -0.02142
  5.42681  0.68879  0.68237  0.00000  0.00000  0.05667  0.02784
  4.75376  0.53651  0.75739  0.00000  0.00000  0.01721 -0.03266
  4.74322  0.59014  0.75808  0.00000  0.00000  0.01257  0.02165
  4.49872  0.54914  0.78881  0.00000  0.00000  0.03766  0.01373
  4.06940  0.48421  0.82981  0.00000  0.00000 -0.00427 -0.01424
  2.99297  0.46675  0.90730  0.00000  0.00000 -0.01813 -0.00917
  4.55381  0.53774  0.77867  0.00000  0.00000  0.00221 -0.00806
  4.20652  0.51094  0.81840  0.00000  0.00000  0.02059  0.00292
  4.63217  0.54685  0.77005  0.00000  0.00000  0.00509 -0.00839
  4.99586  0.63139  0.72800  0.00000  0.00000  0.00777  0.02777
  4.76059  0.53548  0.76225  0.00000  0.00000  0.06600 -0.02799
  3.84336  0.47627  0.85061  0.00000  0.00000 -0.00804 -0.00560
  3.57763  0.46243  0.87364  0.00000  0.00000 -0.00140 -0.00310
  4.41500  0.46857  0.79261  0.00000  0.00000 -0.01122 -0.06296
  2.85311  0.52676  0.91344  0.00000  0.00000 -0.01059  0.02717
  5.48833  0.71831  0.67123  0.00000  0.00000  0.02200  0.04024
  4.21349  0.50518  0.81611  0.00000  0.00000  0.00578 -0.00488
  5.05192  0.60271  0.72344  0.00000  0.00000  0.02481 -0.00653
  4.66276  0.59359  0.76901  0.00000  0.00000  0.02667  0.03730
  5.49691  0.63912  0.66784  0.00000  0.00000 -0.00052 -0.04456
  3.33184  0.43995  0.88962  0.00000  0.00000 -0.01003 -0.02065
  4.57720  0.53217  0.77695  0.00000  0.00000  0.01013 -0.01528
  5.30358  0.60135  0.68618  0.00000  0.00000 -0.03503 -0.05439
  3.08256  0.48572  0.90381  0.00000  0.00000 -0.00286  0.01630
  5.39736  0.65074  0.67517  0.00000  0.00000 -0.03414 -0.02131
  5.08005  0.54959  0.72130  0.00000  0.00000  0.03435 -0.06205
  3.08225  0.48253  0.90300  0.00000  0.00000 -0.01992  0.01436
  5.33548  0.58899  0.68470  0.00000  0.00000 -0.01551 -0.06832
  4.25984  0.52884  0.81201  0.00000  0.00000  0.01352  0.01531
  5.15469  0.64445  0.70890  0.00000  0.00000  0.00246  0.01492
  4.45443  0.52093  0.79021  0.00000  0.00000  0.00630 -0.01328
  4.97818  0.56714  0.72679  0.00000  0.00000 -0.02055 -0.03794
