#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.74672  0.51896  0.69013  0.00000  0.00000  0.02001  0.01630
  3.96495  0.46494  0.74144  0.00000  0.00000 -0.00525  0.02836
  2.58796 -0.14129  0.78915  0.00000  0.57695 -0.01231 -0.00370
  5.10853  0.56933  0.65685  0.00000  0.00000  0.01770  0.01685
  5.10067  0.56451  0.65371  0.00000  0.00000 -0.02234  0.00626
  5.31552  0.53645  0.64191  0.00000  0.00000  0.07240 -0.04327
  3.70187  0.42235  0.75256  0.00000  0.00000 -0.02888  0.00299
  4.53775  0.49520  0.70529  0.00000  0.00000 -0.00292  0.01036
  4.68073  0.46428  0.69540  0.00000  0.00000  0.01581 -0.03163
  4.67059  0.50618  0.69383  0.00000  0.00000 -0.01288  0.00825
  5.27272  0.52931  0.64091  0.00000  0.00000  0.01918 -0.05186
  5.35621  0.57592  0.63490  0.00000  0.00000  0.04204 -0.01646
  4.94162  0.53757  0.67065  0.00000  0.00000 -0.00264  0.00791
  4.18178  0.46729  0.73140  0.00000  0.00000  0.02860  0.01608
  1.80926  0.63387  0.78376  0.00000  0.00000 -0.01307  0.00857
  4.77040  0.53334  0.68431  0.00000  0.00000 -0.02250  0.02295
  4.66985  0.48917  0.69562  0.00000  0.00000  0.00759 -0.00647
  3.66064  0.38189  0.75573  0.00000  0.00000  0.00583 -0.03216
  0.55803  0.66324  0.78682  0.00000  0.00000  0.01114 -0.00695
  5.21848  0.59447  0.64544  0.00000  0.00000  0.01103  0.02084
  4.79698  0.53552  0.68523  0.00000  0.00000  0.01432  0.02645
  4.96567  0.46883  0.67051  0.00000  0.00000  0.01985 -0.06100
  5.43535  0.54424  0.62144  0.00000  0.00000 -0.01255 -0.07147
  3.24854  0.37671  0.76958  0.00000  0.00000 -0.00289 -0.02195
  5.45409  0.63616  0.62662  0.00000  0.00000  0.05741  0.02847
  4.88436  0.48334  0.67785  0.00000  0.00000  0.01820 -0.03534
  4.87419  0.54182  0.67830  0.00000  0.00000  0.01331  0.02344
  4.67023  0.50796  0.69839  0.00000  0.00000  0.04089  0.01548
  4.26156  0.44395  0.72444  0.00000  0.00000 -0.00479 -0.01724
  3.15920  0.39016  0.77138  0.00000  0.00000 -0.01889 -0.00939
  4.70947  0.49144  0.69182  0.00000  0.00000  0.00238 -0.00896
  4.39725  0.47363  0.71728  0.00000  0.00000  0.02290  0.00346
  4.77726  0.49857  0.68619  0.00000  0.00000  0.00543 -0.00921
  5.08500  0.58121  0.65815  0.00000  0.00000  0.00816  0.03088
  4.89939  0.48443  0.68106  0.00000  0.00000  0.07006 -0.03042
  4.04026  0.43621  0.73732  0.00000  0.00000 -0.00855 -0.00599
  3.75750  0.41819  0.75134  0.00000  0.00000 -0.00145 -0.00317
  4.58670  0.41766  0.70085  0.00000  0.00000 -0.01222 -0.07156
  2.98974  0.43901  0.77497  0.00000  0.00000 -0.01097  0.02771
  5.49590  0.66168  0.61875  0.00000  0.00000  0.02207  0.04048
  4.40195  0.46630  0.71583  0.00000  0.00000  0.00641 -0.00575
  5.13538  0.54856  0.65505  0.00000  0.00000  0.02602 -0.00719
  4.80798  0.54956  0.68551  0.00000  0.00000  0.02846  0.04090
  5.49786  0.57981  0.61634  0.00000  0.00000 -0.00052 -0.04459
  3.51438  0.38523  0.76092  0.00000  0.00000 -0.01045 -0.02117
  4.73100  0.48490  0.69070  0.00000  0.00000  0.01088 -0.01694
  5.33409  0.54661  0.62930  0.00000  0.00000 -0.03557 -0.05593
  3.25858  0.41479  0.76932  0.00000  0.00000 -0.00298  0.01671
  5.41248  0.59389  0.62154  0.00000  0.00000 -0.03439 -0.02159
  5.16013  0.49065  0.65359  0.00000  0.00000  0.03592 -0.06784
  3.25824  0.41322  0.76885  0.00000  0.00000 -0.02078  0.01472
  5.36438  0.53447  0.62826  0.00000  0.00000 -0.01574 -0.07009
  4.44753  0.49309  0.71324  0.00000  0.00000  0.01496  0.01791
  5.21346  0.59017  0.64509  0.00000  0.00000  0.00254  0.01586
  4.62519  0.47644  0.69930  0.00000  0.00000  0.00685 -0.01503
  5.06408  0.51014  0.65733  0.00000  0.00000 -0.02162 -0.04156
  5.03316  0.56503  0.66061  0.00000  0.00000 -0.01757  0.01891
  3.37194  0.38608  0.76689  0.00000  0.00000  0.02361 -0.01260
  4.67479  0.54915  0.69385  0.00000  0.00000 -0.00838  0.05126
  5.33660  0.65267  0.62622  0.00000  0.00000 -0.06410  0.04475
  4.90647  0.50100  0.67700  0.00000  0.00000  0.03065 -0.01821
  4.79000  0.56945  0.68575  0.00000  0.00000  0.01319  0.06114
  3.40921  0.38391  0.76463  0.00000  0.00000 -0.01133 -0.01682
  5.11457  0.52303  0.65837  0.00000  0.00000  0.04013 -0.02694
  5.39996  0.67990  0.62854  0.00000  0.00000  0.02256  0.07549
  3.86385  0.43973  0.74519  0.00000  0.00000 -0.03015  0.00881
  2.96490  0.41479  0.77572  0.00000  0.00000  0.00950 -0.00155
  3.29990  0.40936  0.76821  0.00000  0.00000 -0.00252  0.01098
  5.41407  0.64208  0.62235  0.00000  0.00000 -0.02471  0.02810
  4.03214  0.45370  0.73901  0.00000  0.00000  0.01478  0.01402
  5.39749  0.58488  0.62306  0.00000  0.00000 -0.03409 -0.02825
  4.87782  0.44784  0.67686  0.00000  0.00000  0.00032 -0.07145
  3.20409  0.41750  0.77065  0.00000  0.00000 -0.00511  0.01908
  5.39217  0.44117  0.63012  0.00000  0.00000  0.03109 -0.16052
  4.67805  0.48072  0.69536  0.00000  0.00000  0.01269 -0.01523
  4.26595  0.49032  0.72464  0.00000  0.00000  0.00289  0.02930
  5.26396  0.52262  0.63957  0.00000  0.00000 -0.00314 -0.06110
  5.29651  0.61644  0.63992  0.00000  0.00000  0.03293  0.03346
  5.41268  0.60049  0.62188  0.00000  0.00000 -0.03080 -0.01423
  5.35189  0.52207  0.63140  0.00000  0.00000  0.00387 -0.07706
  5.44724  0.52313  0.62125  0.00000  0.00000 -0.00261 -0.09301
  4.42057  0.49411  0.71489  0.00000  0.00000  0.01145  0.02091
  5.31715  0.58508  0.63276  0.00000  0.00000 -0.01772 -0.01198
  4.37538  0.44467  0.71663  0.00000  0.00000 -0.00842 -0.02633
  2.98737  0.41337  0.77482  0.00000  0.00000 -0.02163  0.00292
  4.28998  0.47870  0.72063  0.00000  0.00000 -0.03503  0.01256
  2.69095  0.46328  0.77900  0.00000  0.00000  0.00138 -0.00176
  4.25425  0.49257  0.72279  0.00000  0.00000 -0.03803  0.02964
  1.14640  0.62542  0.78564  0.00000  0.00000 -0.01322 -0.02416
  3.55074  0.43458  0.76021  0.00000  0.00000  0.00748  0.02679
  5.31329  0.61391  0.63438  0.00000  0.00000 -0.00605  0.02045
  3.20625  0.39412  0.77056  0.00000  0.00000 -0.00659 -0.00438
  3.86981  0.41275  0.74634  0.00000  0.00000 -0.00016 -0.01611
  4.66678  0.50560  0.69652  0.00000  0.00000  0.01494  0.01101
  5.11034  0.55857  0.65808  0.00000  0.00000  0.03282  0.00813
  5.13300  0.57439  0.65355  0.00000  0.00000  0.00838  0.01583
  5.46395  0.66799  0.62238  0.00000  0.00000  0.02540  0.05405
  5.50016  0.67097  0.61900  0.00000  0.00000  0.02902  0.05017
  4.49362  0.50518  0.70859  0.00000  0.00000 -0.00303  0.02423
  4.62954  0.49073  0.69743  0.00000  0.00000 -0.01148 -0.00281
  4.21706  0.47464  0.72535  0.00000  0.00000 -0.03486  0.01438
  5.50088  0.70483  0.61911  0.00000  0.00000  0.03071  0.08430
  3.59810  0.40207  0.75760  0.00000  0.00000 -0.01059 -0.00967
  5.14443  0.54810  0.65358  0.00000  0.00000  0.02009 -0.01042
  5.14423  0.61469  0.64944  0.00000  0.00000 -0.02293  0.04944
  4.37976  0.47221  0.71724  0.00000  0.00000  0.00495  0.00200
  4.46090  0.48804  0.71034  0.00000  0.00000 -0.01176  0.00919
  5.40636  0.61038  0.62557  0.00000  0.00000 -0.00051  0.00165
  5.25547  0.65311  0.64156  0.00000  0.00000  0.00865  0.07288
  4.91219  0.55548  0.67218  0.00000  0.00000 -0.01574  0.02773
  4.80256  0.51693  0.68221  0.00000  0.00000 -0.01386  0.00368
  5.37134  0.59988  0.63086  0.00000  0.00000  0.01799 -0.00078
  5.46954  0.54394  0.62206  0.00000  0.00000  0.02786 -0.07046
  5.32887  0.62031  0.63498  0.00000  0.00000  0.01549  0.02809
  3.92078  0.43212  0.74427  0.00000  0.00000  0.00755 -0.00011
  5.42926  0.59868  0.62341  0.00000  0.00000  0.00140 -0.01443
  5.32941  0.58501  0.63664  0.00000  0.00000  0.03287 -0.00389
  4.30468  0.43133  0.72004  0.00000  0.00000 -0.02932 -0.03519
  5.24927  0.55807  0.64394  0.00000  0.00000  0.02688 -0.01846
  4.84222  0.44513  0.67725  0.00000  0.00000 -0.03074 -0.07391
  5.28049  0.61176  0.63750  0.00000  0.00000 -0.00737  0.02417
  5.24797  0.65964  0.64011  0.00000  0.00000 -0.01373  0.07704
  4.74746  0.52551  0.68750  0.00000  0.00000 -0.00920  0.01906
  4.42193  0.47210  0.71243  0.00000  0.00000 -0.02174 -0.00429
 -1.35918  0.76059  0.78841  0.00000  0.00000  0.00244  0.00609
  5.35219  0.57754  0.63248  0.00000  0.00000  0.01499 -0.02052
  4.33332  0.46624  0.72043  0.00000  0.00000  0.00518 -0.00004
  4.31567  0.42939  0.72251  0.00000  0.00000  0.01914 -0.03406
  5.00908  0.54078  0.66652  0.00000  0.00000  0.01971  0.00474
  3.69066  0.41897  0.75527  0.00000  0.00000  0.02451  0.00457
  4.86766  0.53242  0.67808  0.00000  0.00000  0.00418  0.01390
  4.29811  0.45568  0.72407  0.00000  0.00000  0.02595 -0.00581
  4.02221  0.43441  0.73932  0.00000  0.00000  0.01082 -0.00491
