#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.64864  0.51201  0.73204  0.00000  0.00000  0.01914  0.01529
  3.81244  0.43962  0.80575  0.00000  0.00000 -0.00509  0.02781
  2.35297 -0.12398  0.87828  0.00000  0.57695 -0.01150 -0.00357
  5.05490  0.56651  0.68638  0.00000  0.00000  0.01717  0.01583
  5.05117  0.56293  0.68216  0.00000  0.00000 -0.02171  0.00591
  5.27795  0.53827  0.66639  0.00000  0.00000  0.07103 -0.04178
  3.54685  0.39072  0.82231  0.00000  0.00000 -0.02793  0.00293
  4.41530  0.48646  0.75339  0.00000  0.00000 -0.00275  0.00944
  4.57280  0.46049  0.73942  0.00000  0.00000  0.01503 -0.02939
  4.56723  0.49982  0.73721  0.00000  0.00000 -0.01226  0.00768
  5.23730  0.53125  0.66506  0.00000  0.00000  0.01883 -0.05011
  5.32789  0.57774  0.65712  0.00000  0.00000  0.04145 -0.01605
  4.87435  0.53539  0.70512  0.00000  0.00000 -0.00257  0.00761
  4.03350  0.44577  0.79100  0.00000  0.00000  0.02608  0.01375
  1.86804  0.62362  0.86988  0.00000  0.00000 -0.01320  0.00865
  4.68469  0.52651  0.72394  0.00000  0.00000 -0.02165  0.02173
  4.56185  0.48356  0.73974  0.00000  0.00000  0.00721 -0.00601
  3.50534  0.34983  0.82706  0.00000  0.00000  0.00563 -0.03151
  0.50957  0.66664  0.87465  0.00000  0.00000  0.01102 -0.00687
  5.17766  0.59284  0.67109  0.00000  0.00000  0.01080  0.01998
  4.70801  0.52853  0.72521  0.00000  0.00000  0.01376  0.02501
  4.89803  0.46925  0.70492  0.00000  0.00000  0.01931 -0.05871
  5.42765  0.54981  0.63950  0.00000  0.00000 -0.01250 -0.07101
  3.10099  0.33412  0.84804  0.00000  0.00000 -0.00279 -0.02150
  5.43762  0.63931  0.64625  0.00000  0.00000  0.05696  0.02809
  4.80623  0.48101  0.71500  0.00000  0.00000  0.01761 -0.03374
  4.79570  0.53642  0.71563  0.00000  0.00000  0.01287  0.02237
  4.55449  0.50079  0.74363  0.00000  0.00000  0.03871  0.01430
  4.12255  0.42883  0.78086  0.00000  0.00000 -0.00442 -0.01507
  3.01429  0.34683  0.85079  0.00000  0.00000 -0.01823 -0.00920
  4.60920  0.48574  0.73440  0.00000  0.00000  0.00227 -0.00838
  4.26181  0.46016  0.77052  0.00000  0.00000  0.02126  0.00308
