#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.72543  0.54973  0.70309  0.00000  0.00000  0.01982  0.01608
  3.95307  0.49599  0.75714  0.00000  0.00000 -0.00524  0.02831
  1.93614 -0.09441  0.80767  0.00000  0.57695 -0.01016 -0.00334
  5.08564  0.59992  0.66820  0.00000  0.00000  0.01747  0.01641
  5.07949  0.59411  0.66491  0.00000  0.00000 -0.02207  0.00611
  5.29810  0.56341  0.65257  0.00000  0.00000  0.07176 -0.04258
  3.71866  0.45855  0.76890  0.00000  0.00000 -0.02899  0.00300
  4.51531  0.52422  0.71904  0.00000  0.00000 -0.00289  0.01019
  4.65786  0.49609  0.70863  0.00000  0.00000  0.01565 -0.03116
  4.64877  0.53683  0.70698  0.00000  0.00000 -0.01275  0.00813
  5.25502  0.55839  0.65152  0.00000  0.00000  0.01901 -0.05098
  5.34116  0.60203  0.64525  0.00000  0.00000  0.04173 -0.01625
  4.91987  0.56868  0.68266  0.00000  0.00000 -0.00262  0.00781
  4.16478  0.49632  0.74654  0.00000  0.00000  0.02831  0.01581
  1.89938  0.66478  0.80195  0.00000  0.00000 -0.01327  0.00870
  4.75033  0.56422  0.69698  0.00000  0.00000 -0.02231  0.02267
  4.64696  0.52069  0.70887  0.00000  0.00000  0.00751 -0.00637
  3.68415  0.42045  0.77225  0.00000  0.00000  0.00586 -0.03226
  0.62781  0.68994  0.80520  0.00000  0.00000  0.01131 -0.00706
  5.20036  0.62130  0.65626  0.00000  0.00000  0.01093  0.02046
  4.77637  0.56685  0.69795  0.00000  0.00000  0.01419  0.02611
  4.94366  0.50094  0.68251  0.00000  0.00000  0.01968 -0.06025
  5.43017  0.57021  0.63120  0.00000  0.00000 -0.01252 -0.07116
  3.27778  0.43406  0.78691  0.00000  0.00000 -0.00291 -0.02204
  5.44386  0.66126  0.63660  0.00000  0.00000  0.05713  0.02823
  4.86207  0.51657  0.69020  0.00000  0.00000  0.01803 -0.03488
  4.85215  0.57398  0.69068  0.00000  0.00000  0.01318  0.02314
  4.64586  0.53873  0.71178  0.00000  0.00000  0.04043  0.01523
  4.24357  0.47267  0.73920  0.00000  0.00000 -0.00474 -0.01696
  3.19012  0.45146  0.78882  0.00000  0.00000 -0.01903 -0.00943
  4.68820  0.52248  0.70487  0.00000  0.00000  0.00236 -0.00884
  4.37826  0.50175  0.73165  0.00000  0.00000  0.02267  0.00340
  4.75665  0.53078  0.69896  0.00000  0.00000  0.00538 -0.00910
  5.06293  0.61087  0.66956  0.00000  0.00000  0.00806  0.03009
  4.87821  0.51648  0.69357  0.00000  0.00000  0.06944 -0.03005
  4.02524  0.46678  0.75280  0.00000  0.00000 -0.00847 -0.00589
  3.77115  0.45335  0.76761  0.00000  0.00000 -0.00146 -0.00318
  4.56316  0.44926  0.71436  0.00000  0.00000 -0.01209 -0.07038
  3.02296  0.51086  0.79262  0.00000  0.00000 -0.01106  0.02784
  5.49331  0.68746  0.62839  0.00000  0.00000  0.02205  0.04040
  4.38223  0.49455  0.73013  0.00000  0.00000  0.00635 -0.00566
  5.11304  0.57960  0.66631  0.00000  0.00000  0.02569 -0.00701
  4.78718  0.58086  0.69824  0.00000  0.00000  0.02820  0.04038
  5.49689  0.60606  0.62588  0.00000  0.00000 -0.00052 -0.04456
  3.54049  0.42863  0.77774  0.00000  0.00000 -0.01051 -0.02124
  4.70967  0.51610  0.70370  0.00000  0.00000  0.01077 -0.01671
  5.32329  0.57243  0.63940  0.00000  0.00000 -0.03538 -0.05539
  3.28750  0.47228  0.78664  0.00000  0.00000 -0.00300  0.01678
  5.40736  0.61956  0.63131  0.00000  0.00000 -0.03430 -0.02149
  5.13831  0.52185  0.66479  0.00000  0.00000  0.03549 -0.06626
  3.28682  0.46903  0.78614  0.00000  0.00000 -0.02092  0.01478
  5.35329  0.56150  0.63832  0.00000  0.00000 -0.01565 -0.06941
  4.42677  0.52142  0.72740  0.00000  0.00000  0.01480  0.01762
  5.19520  0.61761  0.65590  0.00000  0.00000  0.00252  0.01557
  4.60108  0.50708  0.71274  0.00000  0.00000  0.00677 -0.01478
  5.04182  0.54222  0.66870  0.00000  0.00000 -0.02134 -0.04046
  5.01176  0.59521  0.67214  0.00000  0.00000 -0.01735  0.01841
  3.39902  0.43924  0.78406  0.00000  0.00000  0.02376 -0.01265
  4.65292  0.57919  0.70700  0.00000  0.00000 -0.00830  0.05052
  5.32693  0.67846  0.63619  0.00000  0.00000 -0.06379  0.04437
  4.88372  0.53447  0.68932  0.00000  0.00000  0.03036 -0.01797
  4.76929  0.60063  0.69850  0.00000  0.00000  0.01307  0.06036
  3.43507  0.43286  0.78167  0.00000  0.00000 -0.01139 -0.01688
  5.09226  0.55400  0.66979  0.00000  0.00000  0.03963 -0.02627
  5.38857  0.70498  0.63860  0.00000  0.00000  0.02244  0.07476
  3.85800  0.47194  0.76111  0.00000  0.00000 -0.03011  0.00880
  2.99961  0.48972  0.79342  0.00000  0.00000  0.00958 -0.00156
  3.32776  0.46441  0.78546  0.00000  0.00000 -0.00254  0.01102
  5.40850  0.66783  0.63215  0.00000  0.00000 -0.02464  0.02797
  4.01752  0.48492  0.75457  0.00000  0.00000  0.01464  0.01379
  5.39152  0.61074  0.63289  0.00000  0.00000 -0.03399 -0.02810
  4.85530  0.48210  0.68916  0.00000  0.00000  0.00032 -0.07052
  3.23406  0.47778  0.78804  0.00000  0.00000 -0.00515  0.01916
  5.38104  0.46815  0.64026  0.00000  0.00000  0.03092 -0.15899
  4.65524  0.51228  0.70859  0.00000  0.00000  0.01256 -0.01500
  4.24802  0.51810  0.73942  0.00000  0.00000  0.00286  0.02882
  5.24713  0.55071  0.65013  0.00000  0.00000 -0.00311 -0.06011
  5.27920  0.64361  0.65050  0.00000  0.00000  0.03264  0.03292
  5.40747  0.62605  0.63166  0.00000  0.00000 -0.03072 -0.01417
  5.34032  0.54853  0.64159  0.00000  0.00000  0.00385 -0.07627
  5.44205  0.54936  0.63100  0.00000  0.00000 -0.00260 -0.09262
  4.40028  0.52234  0.72914  0.00000  0.00000  0.01133  0.02057
  5.30490  0.61049  0.64301  0.00000  0.00000 -0.01761 -0.01185
  4.35631  0.47325  0.73097  0.00000  0.00000 -0.00834 -0.02592
  3.02034  0.48479  0.79247  0.00000  0.00000 -0.02181  0.00294
  4.27128  0.50662  0.73519  0.00000  0.00000 -0.03467  0.01235
  2.75724  0.55387  0.79690  0.00000  0.00000  0.00141 -0.00178
  4.23587  0.52101  0.73747  0.00000  0.00000 -0.03764  0.02915
  1.24701  0.65138  0.80394  0.00000  0.00000 -0.01348 -0.02463
  3.57722  0.47677  0.77699  0.00000  0.00000  0.00752  0.02688
  5.29922  0.63940  0.64470  0.00000  0.00000 -0.00600  0.02019
  3.23619  0.45426  0.78795  0.00000  0.00000 -0.00664 -0.00439
  3.86623  0.44634  0.76232  0.00000  0.00000 -0.00016 -0.01610
