#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.51744  0.54843  0.80253  0.00000  0.00000  0.01797  0.01395
  3.62223  0.47842  0.90182  0.00000  0.00000 -0.00489  0.02714
  0.84174  0.01721  1.00450  0.00000  0.57695 -0.00829 -0.00272
  4.97624  0.61160  0.74336  0.00000  0.00000  0.01652  0.01459
  4.98162  0.60793  0.73796  0.00000  0.00000 -0.02083  0.00549
  5.23093  0.58933  0.71798  0.00000  0.00000  0.06931 -0.03992
  3.37000  0.44198  0.92480  0.00000  0.00000 -0.02684  0.00286
  4.26982  0.51813  0.83080  0.00000  0.00000 -0.00254  0.00835
  4.43610  0.50000  0.81226  0.00000  0.00000  0.01404 -0.02655
  4.43386  0.53582  0.80934  0.00000  0.00000 -0.01147  0.00696
  5.19349  0.58352  0.71629  0.00000  0.00000  0.01840 -0.04795
  5.29778  0.62980  0.70630  0.00000  0.00000  0.04083 -0.01562
  4.77029  0.57731  0.76744  0.00000  0.00000 -0.00246  0.00715
  3.85512  0.48138  0.88156  0.00000  0.00000  0.02507  0.01298
  1.85097  0.68607  0.99234  0.00000  0.00000 -0.01316  0.00863
  4.56201  0.56546  0.79190  0.00000  0.00000 -0.02044  0.01999
  4.42553  0.52064  0.81268  0.00000  0.00000  0.00673 -0.00542
  3.32635  0.40528  0.93145  0.00000  0.00000  0.00541 -0.03076
  0.41305  0.72582  0.99923  0.00000  0.00000  0.01079 -0.00673
  5.12399  0.63962  0.72391  0.00000  0.00000  0.01048  0.01886
  4.58290  0.56641  0.79357  0.00000  0.00000  0.01298  0.02299
  4.79320  0.51521  0.76719  0.00000  0.00000  0.01847 -0.05518
  5.41664  0.60034  0.68430  0.00000  0.00000 -0.01244 -0.07036
  2.90596  0.41875  0.96105  0.00000  0.00000 -0.00265 -0.02091
  5.41928  0.68928  0.69270  0.00000  0.00000  0.05647  0.02766
  4.69047  0.52537  0.78025  0.00000  0.00000  0.01672 -0.03137
  4.67951  0.57656  0.78107  0.00000  0.00000  0.01222  0.02078
  4.41345  0.53398  0.81783  0.00000  0.00000  0.03605  0.01285
  3.95399  0.46628  0.86775  0.00000  0.00000 -0.00404 -0.01308
  2.82224  0.43632  0.96496  0.00000  0.00000 -0.01736 -0.00894
  4.47684  0.52427  0.80564  0.00000  0.00000  0.00213 -0.00762
  4.10035  0.49257  0.85376  0.00000  0.00000  0.01931  0.00263
  4.56075  0.53470  0.79533  0.00000  0.00000  0.00492 -0.00798
  4.94999  0.62106  0.74559  0.00000  0.00000  0.00762  0.02708
  4.69254  0.52448  0.78603  0.00000  0.00000  0.06402 -0.02680
  3.70500  0.45316  0.89346  0.00000  0.00000 -0.00781 -0.00550
  3.42382  0.43737  0.92226  0.00000  0.00000 -0.00135 -0.00304
  4.32969  0.45824  0.82242  0.00000  0.00000 -0.01072 -0.05869
  2.67133  0.49317  0.97283  0.00000  0.00000 -0.01009  0.02645
  5.48637  0.71746  0.67996  0.00000  0.00000  0.02198  0.04018
  4.10962  0.48859  0.85096  0.00000  0.00000  0.00543 -0.00440
  5.00846  0.59459  0.74025  0.00000  0.00000  0.02426 -0.00619
  4.59163  0.57890  0.79409  0.00000  0.00000  0.02579  0.03554
  5.49499  0.63927  0.67609  0.00000  0.00000 -0.00052 -0.04449
  3.17473  0.41235  0.94244  0.00000  0.00000 -0.00967 -0.02021
  4.50097  0.51900  0.80358  0.00000  0.00000  0.00976 -0.01446
  5.29548  0.60367  0.69708  0.00000  0.00000 -0.03489 -0.05399
  2.91571  0.45492  0.96049  0.00000  0.00000 -0.00274  0.01592
  5.39364  0.64927  0.68446  0.00000  0.00000 -0.03408 -0.02125
  5.03747  0.54380  0.73776  0.00000  0.00000  0.03351 -0.05897
  2.91647  0.45223  0.95947  0.00000  0.00000 -0.01911  0.01403
  5.32727  0.59180  0.69539  0.00000  0.00000 -0.01545 -0.06782
  4.15980  0.51022  0.84596  0.00000  0.00000  0.01275  0.01392
  5.12041  0.63626  0.72332  0.00000  0.00000  0.00241  0.01437
  4.36959  0.50751  0.81953  0.00000  0.00000  0.00603 -0.01241
  4.93344  0.55888  0.74417  0.00000  0.00000 -0.02018 -0.03701
  4.89247  0.60644  0.74985  0.00000  0.00000 -0.01643  0.01707
  3.02457  0.42319  0.95523  0.00000  0.00000  0.02173 -0.01201
  4.43753  0.57204  0.80939  0.00000  0.00000 -0.00747  0.04324
  5.30499  0.70546  0.69205  0.00000  0.00000 -0.06309  0.04349
  4.71363  0.54236  0.77874  0.00000  0.00000  0.02819 -0.01620
  4.57424  0.59629  0.79453  0.00000  0.00000  0.01194  0.05306
