#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.38542  0.55145  0.87229  0.00000  0.00000  0.01679  0.01259
  3.40142  0.47187  1.00521  0.00000  0.00000 -0.00466  0.02635
  0.35342  0.29257  1.15155  0.00000  0.57695 -0.00745 -0.00245
  4.90349  0.62519  0.79664  0.00000  0.00000  0.01603  0.01401
  4.91051  0.62229  0.78987  0.00000  0.00000 -0.02022  0.00527
  5.16703  0.60825  0.76494  0.00000  0.00000  0.06697 -0.03739
  3.13715  0.43911  1.03714  0.00000  0.00000 -0.02541  0.00277
  4.11046  0.51764  0.90934  0.00000  0.00000 -0.00231  0.00715
  4.29428  0.50541  0.88497  0.00000  0.00000  0.01301 -0.02360
  4.29681  0.53806  0.88117  0.00000  0.00000 -0.01066  0.00621
  5.13239  0.60414  0.76286  0.00000  0.00000  0.01779 -0.04493
  5.24481  0.65140  0.75050  0.00000  0.00000  0.03973 -0.01485
  4.67671  0.58542  0.82713  0.00000  0.00000 -0.00236  0.00673
  3.64195  0.47502  0.97744  0.00000  0.00000  0.02397  0.01263
  1.66293  0.71242  1.13371  0.00000  0.00000 -0.01274  0.00835
  4.44371  0.56906  0.85852  0.00000  0.00000 -0.01927  0.01830
  4.28394  0.52361  0.88552  0.00000  0.00000  0.00624 -0.00482
  3.08514  0.40489  1.04645  0.00000  0.00000  0.00511 -0.02975
  0.01082  0.77577  1.14380  0.00000  0.00000  0.00980 -0.00611
  5.05845  0.65422  0.77231  0.00000  0.00000  0.01010  0.01749
  4.46063  0.56933  0.86068  0.00000  0.00000  0.01222  0.02102
  4.69898  0.52718  0.82680  0.00000  0.00000  0.01771 -0.05200
  5.40222  0.64144  0.72354  0.00000  0.00000 -0.01235 -0.06952
  2.64524  0.41998  1.08845  0.00000  0.00000 -0.00248 -0.02012
  5.38873  0.71958  0.73381  0.00000  0.00000  0.05564  0.02696
  4.58205  0.53479  0.84351  0.00000  0.00000  0.01590 -0.02915
  4.57005  0.58246  0.84456  0.00000  0.00000  0.01160  0.01929
  4.26423  0.53463  0.89227  0.00000  0.00000  0.03324  0.01133
  3.75637  0.46318  0.95871  0.00000  0.00000 -0.00388 -0.01276
  2.56245  0.43812  1.09405  0.00000  0.00000 -0.01618 -0.00860
  4.34285  0.52851  0.87634  0.00000  0.00000  0.00199 -0.00684
  3.91508  0.49217  0.93988  0.00000  0.00000  0.01795  0.00232
  4.43741  0.53957  0.86295  0.00000  0.00000  0.00462 -0.00728
  4.87768  0.63437  0.79945  0.00000  0.00000  0.00740  0.02599
  4.57569  0.53254  0.85094  0.00000  0.00000  0.06060 -0.02476
  3.48430  0.44651  0.99372  0.00000  0.00000 -0.00744 -0.00535
  3.19220  0.43425  1.03358  0.00000  0.00000 -0.00128 -0.00294
  4.17955  0.46739  0.89830  0.00000  0.00000 -0.00984 -0.05117
  2.41877  0.49644  1.10537  0.00000  0.00000 -0.00940  0.02545
  5.47968  0.76088  0.71826  0.00000  0.00000  0.02191  0.03996
  3.92876  0.48741  0.93614  0.00000  0.00000  0.00500 -0.00386
  4.93533  0.60917  0.79274  0.00000  0.00000  0.02355 -0.00591
  4.46793  0.58023  0.86134  0.00000  0.00000  0.02427  0.03247
  5.49528  0.68521  0.71357  0.00000  0.00000 -0.00052 -0.04450
  2.92404  0.41347  1.06195  0.00000  0.00000 -0.00909 -0.01950
  4.36825  0.52462  0.87366  0.00000  0.00000  0.00911 -0.01303
  5.25702  0.63202  0.73917  0.00000  0.00000 -0.03420 -0.05205
  2.65466  0.45498  1.08764  0.00000  0.00000 -0.00256  0.01532
  5.37913  0.68957  0.72375  0.00000  0.00000 -0.03384 -0.02098
  4.96485  0.56216  0.78961  0.00000  0.00000  0.03253 -0.05518
