#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.47767  0.48578  0.79092  0.00000  0.00000  0.01761  0.01354
  3.53880  0.36946  0.90879  0.00000  0.00000 -0.00480  0.02684
  2.19448 -0.11544  1.03760  0.00000  0.57695 -0.01096 -0.00348
  4.96915  0.55606  0.72349  0.00000  0.00000  0.01647  0.01454
  4.97571  0.55357  0.71744  0.00000  0.00000 -0.02077  0.00547
  5.22668  0.53421  0.69516  0.00000  0.00000  0.06915 -0.03975
  3.25939  0.30049  0.93697  0.00000  0.00000 -0.02616  0.00282
  4.21381  0.44756  0.82386  0.00000  0.00000 -0.00246  0.00793
  4.39043  0.43570  0.80220  0.00000  0.00000  0.01371 -0.02560
  4.39044  0.47164  0.79882  0.00000  0.00000 -0.01122  0.00672
  5.18846  0.52823  0.69329  0.00000  0.00000  0.01835 -0.04770
  5.28988  0.57251  0.68223  0.00000  0.00000  0.04066 -0.01550
  4.75204  0.51948  0.75070  0.00000  0.00000 -0.00244  0.00707
  3.77446  0.38739  0.88423  0.00000  0.00000  0.02465  0.01285
  1.60029  0.55077  1.02194  0.00000  0.00000 -0.01260  0.00826
  4.52998  0.50348  0.77867  0.00000  0.00000 -0.02012  0.01953
  4.37956  0.45569  0.80269  0.00000  0.00000  0.00657 -0.00523
  3.21186  0.25315  0.94519  0.00000  0.00000  0.00527 -0.03028
  0.14000  0.66700  1.03080  0.00000  0.00000  0.01012 -0.00631
  5.12225  0.58507  0.70174  0.00000  0.00000  0.01047  0.01882
  4.54870  0.50476  0.78059  0.00000  0.00000  0.01277  0.02244
  4.77486  0.45811  0.75040  0.00000  0.00000  0.01832 -0.05456
  5.41547  0.54805  0.65809  0.00000  0.00000 -0.01243 -0.07030
  2.81258  0.19494  0.98217  0.00000  0.00000 -0.00259 -0.02063
  5.41514  0.63383  0.66728  0.00000  0.00000  0.05635  0.02757
  4.66464  0.46672  0.76529  0.00000  0.00000  0.01653 -0.03084
  4.65325  0.51716  0.76624  0.00000  0.00000  0.01207  0.02042
  4.36419  0.46663  0.80869  0.00000  0.00000  0.03513  0.01235
  3.87794  0.38100  0.86765  0.00000  0.00000 -0.00397 -0.01296
  2.73185  0.19856  0.98710  0.00000  0.00000 -0.01695 -0.00883
  4.43566  0.46090  0.79453  0.00000  0.00000  0.00209 -0.00738
  4.02983  0.41457  0.85096  0.00000  0.00000  0.01846  0.00243
  4.52593  0.47282  0.78261  0.00000  0.00000  0.00483 -0.00778
  4.94187  0.56544  0.72599  0.00000  0.00000  0.00760  0.02696
  4.66258  0.46458  0.77191  0.00000  0.00000  0.06314 -0.02628
  3.62281  0.35147  0.89863  0.00000  0.00000 -0.00767 -0.00545
  3.31475  0.30035  0.93383  0.00000  0.00000 -0.00132 -0.00299
  4.27863  0.39304  0.81405  0.00000  0.00000 -0.01042 -0.05613
  2.57989  0.22486  0.99706  0.00000  0.00000 -0.00984  0.02609
  5.48605  0.66525  0.65335  0.00000  0.00000  0.02197  0.04017
  4.04232  0.41108  0.84764  0.00000  0.00000  0.00520 -0.00409
  5.00215  0.53918  0.72000  0.00000  0.00000  0.02420 -0.00614
  4.55706  0.51653  0.78118  0.00000  0.00000  0.02537  0.03468
  5.49597  0.58641  0.64915  0.00000  0.00000 -0.00052 -0.04453
  3.06252  0.23836  0.95885  0.00000  0.00000 -0.00941 -0.01989
  4.46039  0.45714  0.79214  0.00000  0.00000  0.00956 -0.01403
  5.28789  0.54621  0.67209  0.00000  0.00000 -0.03475 -0.05361
  2.82175  0.23207  0.98147  0.00000  0.00000 -0.00268  0.01570
  5.39244  0.59689  0.65827  0.00000  0.00000 -0.03406 -0.02122
