#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.73932  0.53207  0.69648  0.00000  0.00000  0.01995  0.01622
  3.96934  0.47534  0.74937  0.00000  0.00000 -0.00526  0.02837
  2.17602 -0.11039  0.79872  0.00000  0.57695 -0.01090 -0.00347
  5.09938  0.57883  0.66228  0.00000  0.00000  0.01761  0.01667
  5.09214  0.57269  0.65905  0.00000  0.00000 -0.02223  0.00620
  5.30739  0.54445  0.64695  0.00000  0.00000  0.07210 -0.04294
  3.72622  0.43893  0.76087  0.00000  0.00000 -0.02903  0.00300
  4.53082  0.50696  0.71210  0.00000  0.00000 -0.00291  0.01031
  4.67337  0.47771  0.70191  0.00000  0.00000  0.01576 -0.03148
  4.66359  0.51984  0.70029  0.00000  0.00000 -0.01284  0.00821
  5.26488  0.53761  0.64592  0.00000  0.00000  0.01910 -0.05147
  5.35079  0.58220  0.63975  0.00000  0.00000  0.04193 -0.01639
  4.93289  0.54765  0.67646  0.00000  0.00000 -0.00263  0.00787
  4.18167  0.47717  0.73901  0.00000  0.00000  0.02860  0.01607
  1.86668  0.65487  0.79314  0.00000  0.00000 -0.01320  0.00865
  4.76332  0.54527  0.69049  0.00000  0.00000 -0.02243  0.02285
  4.66246  0.50247  0.70214  0.00000  0.00000  0.00756 -0.00644
  3.69179  0.40113  0.76414  0.00000  0.00000  0.00587 -0.03229
  0.59485  0.68180  0.79631  0.00000  0.00000  0.01123 -0.00700
  5.21081  0.60120  0.65057  0.00000  0.00000  0.01099  0.02068
  4.78940  0.54780  0.69144  0.00000  0.00000  0.01427  0.02633
  4.95682  0.47936  0.67631  0.00000  0.00000  0.01978 -0.06070
  5.43240  0.55440  0.62596  0.00000  0.00000 -0.01253 -0.07129
  3.27784  0.41407  0.77846  0.00000  0.00000 -0.00291 -0.02204
  5.44930  0.64463  0.63127  0.00000  0.00000  0.05728  0.02835
  4.87612  0.49518  0.68385  0.00000  0.00000  0.01814 -0.03517
  4.86601  0.55329  0.68432  0.00000  0.00000  0.01326  0.02333
  4.66151  0.52078  0.70499  0.00000  0.00000  0.04073  0.01539
  4.25953  0.45397  0.73183  0.00000  0.00000 -0.00479 -0.01721
