#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.33105  0.44937  0.83649  0.00000  0.00000  0.01631  0.01203
  3.31389  0.26715  1.00089  0.00000  0.00000 -0.00456  0.02604
  2.16792 -0.12057  1.20054  0.00000  0.57695 -0.01087 -0.00347
  4.89255  0.53584  0.74900  0.00000  0.00000  0.01596  0.01392
  4.90654  0.53528  0.74136  0.00000  0.00000 -0.02019  0.00526
  5.18003  0.52222  0.71351  0.00000  0.00000  0.06745 -0.03790
  3.04329  0.16941  1.04264  0.00000  0.00000 -0.02484  0.00274
  4.03680  0.40146  0.88088  0.00000  0.00000 -0.00220  0.00660
  4.23283  0.40098  0.85157  0.00000  0.00000  0.01256 -0.02233
  4.23824  0.43287  0.84703  0.00000  0.00000 -0.01031  0.00589
  5.14612  0.51756  0.71120  0.00000  0.00000  0.01793 -0.04561
  5.26017  0.56295  0.69756  0.00000  0.00000  0.04005 -0.01507
  4.64746  0.49497  0.78378  0.00000  0.00000 -0.00232  0.00660
  3.55367  0.31004  0.96532  0.00000  0.00000  0.02351  0.01248
  1.41534  0.17950  1.17500  0.00000  0.00000 -0.01218  0.00799
  4.39816  0.47063  0.82026  0.00000  0.00000 -0.01881  0.01766
  4.22215  0.41866  0.85222  0.00000  0.00000  0.00602 -0.00455
  2.99813  0.11446  1.05500  0.00000  0.00000  0.00500 -0.02938
 -0.43685  0.67170  1.18940  0.00000  0.00000  0.00835 -0.00510
  5.06766  0.56846  0.72170  0.00000  0.00000  0.01015  0.01768
  4.41312  0.47050  0.82279  0.00000  0.00000  0.01193  0.02025
  4.66966  0.43785  0.78340  0.00000  0.00000  0.01747 -0.05101
  5.40720  0.54006  0.66813  0.00000  0.00000 -0.01238 -0.06981
  2.63149  0.04049  1.11178  0.00000  0.00000 -0.00247 -0.02008
  5.39829  0.62407  0.67928  0.00000  0.00000  0.05590  0.02718
  4.54430  0.44137  0.80272  0.00000  0.00000  0.01561 -0.02838
