#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.71136  0.56505  0.71495  0.00000  0.00000  0.01970  0.01594
  3.94420  0.51366  0.77073  0.00000  0.00000 -0.00523  0.02828
  1.41247 -0.05395  0.82302  0.00000  0.57695 -0.00927 -0.00304
  5.07772  0.61336  0.67900  0.00000  0.00000  0.01740  0.01626
  5.07172  0.60758  0.67562  0.00000  0.00000 -0.02197  0.00605
  5.29065  0.57732  0.66292  0.00000  0.00000  0.07149 -0.04228
  3.71613  0.47844  0.78289  0.00000  0.00000 -0.02897  0.00300
  4.50087  0.53892  0.73139  0.00000  0.00000 -0.00287  0.01008
  4.64392  0.51054  0.72066  0.00000  0.00000  0.01555 -0.03087
  4.63459  0.55180  0.71895  0.00000  0.00000 -0.01266  0.00805
  5.24860  0.57124  0.66184  0.00000  0.00000  0.01894 -0.05067
  5.33676  0.61501  0.65539  0.00000  0.00000  0.04164 -0.01618
  4.91084  0.58344  0.69389  0.00000  0.00000 -0.00261  0.00777
  4.15173  0.51164  0.75978  0.00000  0.00000  0.02809  0.01560
  1.94702  0.68100  0.81709  0.00000  0.00000 -0.01338  0.00877
  4.73864  0.57859  0.70865  0.00000  0.00000 -0.02219  0.02250
  4.63312  0.53480  0.72090  0.00000  0.00000  0.00746 -0.00631
  3.68229  0.44128  0.78635  0.00000  0.00000  0.00586 -0.03225
  0.67614  0.70645  0.82046  0.00000  0.00000  0.01143 -0.00713
  5.19193  0.63568  0.66672  0.00000  0.00000  0.01088  0.02028
  4.76434  0.58073  0.70964  0.00000  0.00000  0.01412  0.02592
  4.93462  0.51595  0.69373  0.00000  0.00000  0.01960 -0.05995
  5.42867  0.58520  0.64095  0.00000  0.00000 -0.01251 -0.07107
  3.28587  0.46151  0.80153  0.00000  0.00000 -0.00291 -0.02206
  5.44161  0.67535  0.64650  0.00000  0.00000  0.05707  0.02818
  4.85262  0.53145  0.70166  0.00000  0.00000  0.01796 -0.03469
  4.84254  0.58849  0.70215  0.00000  0.00000  0.01313  0.02301
  4.63128  0.55260  0.72390  0.00000  0.00000  0.04016  0.01508
  4.22987  0.48794  0.75220  0.00000  0.00000 -0.00471 -0.01675
  3.20102  0.48047  0.80350  0.00000  0.00000 -0.01908 -0.00944
  4.67372  0.53815  0.71678  0.00000  0.00000  0.00234 -0.00875
  4.36284  0.51727  0.74441  0.00000  0.00000  0.02248  0.00336
  4.74404  0.54453  0.71068  0.00000  0.00000  0.00535 -0.00902
  5.05408  0.62516  0.68040  0.00000  0.00000  0.00802  0.02977
  4.86713  0.53169  0.70513  0.00000  0.00000  0.06911 -0.02985
  4.01405  0.48318  0.76624  0.00000  0.00000 -0.00841 -0.00581
  3.76934  0.47299  0.78156  0.00000  0.00000 -0.00145 -0.00318
  4.54823  0.46491  0.72656  0.00000  0.00000 -0.01200 -0.06964
  3.04651  0.54683  0.80744  0.00000  0.00000 -0.01112  0.02794
  5.49243  0.70262  0.63806  0.00000  0.00000  0.02204  0.04037
  4.36702  0.51034  0.74283  0.00000  0.00000  0.00630 -0.00559
  5.10507  0.59272  0.67706  0.00000  0.00000  0.02558 -0.00695
  4.77489  0.59452  0.70994  0.00000  0.00000  0.02805  0.04008
  5.49684  0.62209  0.63548  0.00000  0.00000 -0.00052 -0.04456
  3.54029  0.45108  0.79204  0.00000  0.00000 -0.01051 -0.02124
  4.69556  0.53177  0.71557  0.00000  0.00000  0.01071 -0.01656
  5.32049  0.58624  0.64938  0.00000  0.00000 -0.03533 -0.05525
  3.29507  0.49985  0.80124  0.00000  0.00000 -0.00301  0.01679
  5.40575  0.63456  0.64106  0.00000  0.00000 -0.03428 -0.02146
  5.13028  0.53600  0.67549  0.00000  0.00000  0.03534 -0.06568
  3.29354  0.49693  0.80072  0.00000  0.00000 -0.02096  0.01479
  5.35143  0.57339  0.64827  0.00000  0.00000 -0.01564 -0.06930
  4.41204  0.53577  0.74002  0.00000  0.00000  0.01469  0.01742
  5.18781  0.63100  0.66634  0.00000  0.00000  0.00251  0.01545
  4.58644  0.52185  0.72489  0.00000  0.00000  0.00673 -0.01463
  5.03384  0.55642  0.67951  0.00000  0.00000 -0.02124 -0.04006
  5.00272  0.60964  0.68305  0.00000  0.00000 -0.01726  0.01820
  3.40394  0.46457  0.79858  0.00000  0.00000  0.02378 -0.01266
  4.63872  0.59374  0.71898  0.00000  0.00000 -0.00824  0.05004
  5.32522  0.69228  0.64608  0.00000  0.00000 -0.06374  0.04430
  4.87451  0.54946  0.70075  0.00000  0.00000  0.03024 -0.01787
  4.75692  0.61402  0.71021  0.00000  0.00000  0.01300  0.05990
  3.43753  0.45776  0.79610  0.00000  0.00000 -0.01140 -0.01689
  5.08305  0.56909  0.68063  0.00000  0.00000  0.03942 -0.02599
  5.38670  0.71658  0.64856  0.00000  0.00000  0.02242  0.07464
  3.85395  0.48987  0.77483  0.00000  0.00000 -0.03008  0.00880
  3.02812  0.52675  0.80826  0.00000  0.00000  0.00965 -0.00157
  3.33421  0.49086  0.80002  0.00000  0.00000 -0.00254  0.01103
  5.40636  0.68258  0.64193  0.00000  0.00000 -0.02462  0.02792
  4.00790  0.50025  0.76808  0.00000  0.00000  0.01459  0.01364
  5.38910  0.62589  0.64269  0.00000  0.00000 -0.03395 -0.02804
  4.84625  0.49740  0.70059  0.00000  0.00000  0.00032 -0.07014
  3.24398  0.50570  0.80270  0.00000  0.00000 -0.00516  0.01919
  5.37647  0.48264  0.65026  0.00000  0.00000  0.03086 -0.15837
  4.64130  0.52659  0.72061  0.00000  0.00000  0.01248 -0.01486
  4.23438  0.53272  0.75243  0.00000  0.00000  0.00284  0.02846
  5.24024  0.56500  0.66041  0.00000  0.00000 -0.00310 -0.05970
  5.27248  0.65658  0.66079  0.00000  0.00000  0.03253  0.03271
  5.40552  0.64106  0.64142  0.00000  0.00000 -0.03070 -0.01415
  5.33607  0.56171  0.65163  0.00000  0.00000  0.00384 -0.07598
  5.44077  0.56423  0.64074  0.00000  0.00000 -0.00260 -0.09252
  4.38536  0.53732  0.74181  0.00000  0.00000  0.01124  0.02032
  5.30039  0.62409  0.65309  0.00000  0.00000 -0.01757 -0.01180
  4.34115  0.48928  0.74370  0.00000  0.00000 -0.00827 -0.02559
  3.04295  0.52011  0.80728  0.00000  0.00000 -0.02194  0.00295
  4.25756  0.52157  0.74806  0.00000  0.00000 -0.03440  0.01220
  2.82128  0.59238  0.81186  0.00000  0.00000  0.00143 -0.00179
  4.22223  0.53552  0.75041  0.00000  0.00000 -0.03734  0.02878
  1.30453  0.66779  0.81916  0.00000  0.00000 -0.01363 -0.02490
  3.57675  0.49917  0.79126  0.00000  0.00000  0.00752  0.02688
  5.29464  0.65255  0.65483  0.00000  0.00000 -0.00599  0.02010
  3.24590  0.48197  0.80260  0.00000  0.00000 -0.00665 -0.00440
  3.86502  0.46334  0.77609  0.00000  0.00000 -0.00016 -0.01610
  4.62952  0.55072  0.72187  0.00000  0.00000  0.01468  0.01074
  5.07900  0.60331  0.68033  0.00000  0.00000  0.03225  0.00784
  5.10362  0.61704  0.67545  0.00000  0.00000  0.00824  0.01532
  5.45602  0.70834  0.64195  0.00000  0.00000  0.02531  0.05370
  5.49651  0.71171  0.63834  0.00000  0.00000  0.02897  0.05003
  4.45755  0.54787  0.73496  0.00000  0.00000 -0.00298  0.02357
  4.59198  0.53600  0.72286  0.00000  0.00000 -0.01128 -0.00274
  4.18677  0.51692  0.75319  0.00000  0.00000 -0.03425  0.01397
  5.49700  0.74549  0.63845  0.00000  0.00000  0.03066  0.08405
  3.62270  0.46307  0.78840  0.00000  0.00000 -0.01064 -0.00971
  5.11485  0.59161  0.67548  0.00000  0.00000  0.01976 -0.01008
  5.11672  0.65530  0.67102  0.00000  0.00000 -0.02258  0.04796
  4.34566  0.51590  0.74437  0.00000  0.00000  0.00486  0.00194
  4.42555  0.53078  0.73687  0.00000  0.00000 -0.01154  0.00894
  5.39564  0.65083  0.64538  0.00000  0.00000 -0.00051  0.00164
  5.23130  0.69172  0.66254  0.00000  0.00000  0.00854  0.07117
  4.88150  0.60053  0.69553  0.00000  0.00000 -0.01554  0.02724
  4.77123  0.56303  0.70637  0.00000  0.00000 -0.01367  0.00361
  5.35554  0.63831  0.65105  0.00000  0.00000  0.01785 -0.00077
