#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.55791  0.58401  0.81174  0.00000  0.00000  0.01833  0.01436
  3.72400  0.52504  0.89705  0.00000  0.00000 -0.00500  0.02750
  0.16175  0.43377  0.98179  0.00000  0.57695 -0.00713 -0.00234
  4.98175  0.64382  0.75930  0.00000  0.00000  0.01655  0.01464
  4.98421  0.64133  0.75446  0.00000  0.00000 -0.02086  0.00550
  5.22688  0.62319  0.73643  0.00000  0.00000  0.06916 -0.03976
  3.48650  0.49329  0.91632  0.00000  0.00000 -0.02756  0.00291
  4.32238  0.55424  0.83637  0.00000  0.00000 -0.00261  0.00874
  4.48068  0.53347  0.82025  0.00000  0.00000  0.01436 -0.02748
  4.47650  0.57052  0.81770  0.00000  0.00000 -0.01173  0.00719
  5.18882  0.61768  0.73491  0.00000  0.00000  0.01835 -0.04772
  5.29048  0.66485  0.72583  0.00000  0.00000  0.04068 -0.01551
  4.78908  0.60904  0.78079  0.00000  0.00000 -0.00248  0.00723
  3.93354  0.52294  0.87991  0.00000  0.00000  0.02548  0.01311
  1.99576  0.72461  0.97193  0.00000  0.00000 -0.01351  0.00884
  4.59787  0.59946  0.80241  0.00000  0.00000 -0.02079  0.02050
  4.47013  0.55487  0.82062  0.00000  0.00000  0.00689 -0.00561
  3.44783  0.45846  0.92186  0.00000  0.00000  0.00556 -0.03127
  0.58559  0.76264  0.97752  0.00000  0.00000  0.01121 -0.00699
  5.12274  0.67273  0.74180  0.00000  0.00000  0.01047  0.01883
  4.61938  0.60121  0.80388  0.00000  0.00000  0.01321  0.02358
  4.81185  0.54645  0.78056  0.00000  0.00000  0.01862 -0.05581
  5.41633  0.64781  0.70575  0.00000  0.00000 -0.01244 -0.07035
  3.07058  0.48443  0.94636  0.00000  0.00000 -0.00276 -0.02141
  5.41550  0.73124  0.71344  0.00000  0.00000  0.05636  0.02757
  4.71832  0.55789  0.79213  0.00000  0.00000  0.01694 -0.03194
  4.70777  0.61040  0.79286  0.00000  0.00000  0.01237  0.02117
  4.46147  0.56921  0.82511  0.00000  0.00000  0.03696  0.01335
