#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.57433  0.49718  0.75585  0.00000  0.00000  0.01848  0.01453
  3.70332  0.39644  0.84580  0.00000  0.00000 -0.00497  0.02742
  2.46501 -0.13548  0.93789  0.00000  0.57695 -0.01189 -0.00363
  5.01811  0.56017  0.70182  0.00000  0.00000  0.01680  0.01513
  5.01883  0.55647  0.69688  0.00000  0.00000 -0.02130  0.00568
  5.25537  0.52993  0.67855  0.00000  0.00000  0.07020 -0.04088
  3.42913  0.33633  0.86650  0.00000  0.00000 -0.02721  0.00289
  4.33122  0.46276  0.78155  0.00000  0.00000 -0.00263  0.00881
  4.49443  0.44549  0.76470  0.00000  0.00000  0.01446 -0.02776
  4.49064  0.48349  0.76205  0.00000  0.00000 -0.01181  0.00727
  5.21493  0.52417  0.67701  0.00000  0.00000  0.01861 -0.04901
  5.31234  0.56764  0.66783  0.00000  0.00000  0.04113 -0.01583
  4.82084  0.52502  0.72385  0.00000  0.00000 -0.00251  0.00737
  3.93028  0.40758  0.82752  0.00000  0.00000  0.02546  0.01311
  1.76003  0.55595  0.92703  0.00000  0.00000 -0.01296  0.00849
  4.61670  0.51405  0.74617  0.00000  0.00000 -0.02098  0.02077
  4.48367  0.46713  0.76508  0.00000  0.00000  0.00694 -0.00567
  3.38087  0.29101  0.87247  0.00000  0.00000  0.00548 -0.03099
  0.36983  0.65726  0.93318  0.00000  0.00000  0.01068 -0.00666
  5.15221  0.58496  0.68399  0.00000  0.00000  0.01065  0.01945
  4.63829  0.51571  0.74769  0.00000  0.00000  0.01333  0.02389
  4.84403  0.46122  0.72361  0.00000  0.00000  0.01887 -0.05689
  5.42165  0.54230  0.64759  0.00000  0.00000 -0.01247 -0.07066
  2.97148  0.24485  0.89904  0.00000  0.00000 -0.00270 -0.02111
  5.42851  0.62823  0.65533  0.00000  0.00000  0.05672  0.02787
  4.74404  0.47209  0.73554  0.00000  0.00000  0.01713 -0.03246
  4.73299  0.52547  0.73629  0.00000  0.00000  0.01252  0.02151
  4.47339  0.48114  0.76977  0.00000  0.00000  0.03718  0.01347
  4.02409  0.39827  0.81504  0.00000  0.00000 -0.00415 -0.01353
  2.89043  0.24922  0.90254  0.00000  0.00000 -0.01767 -0.00903
  4.53399  0.47200  0.75868  0.00000  0.00000  0.00219 -0.00795
  4.16734  0.43070  0.80237  0.00000  0.00000  0.02012  0.00282
  4.61632  0.48227  0.74929  0.00000  0.00000  0.00505 -0.00830
  4.99239  0.57029  0.70386  0.00000  0.00000  0.00776  0.02772
  4.74851  0.47147  0.74081  0.00000  0.00000  0.06565 -0.02778
  3.78388  0.37480  0.83827  0.00000  0.00000 -0.00794 -0.00556
  3.48498  0.33447  0.86421  0.00000  0.00000 -0.00137 -0.00306
  4.38945  0.40089  0.77394  0.00000  0.00000 -0.01107 -0.06168
  2.73931  0.27720  0.90958  0.00000  0.00000 -0.01028  0.02672
  5.48937  0.65832  0.64359  0.00000  0.00000  0.02201  0.04027
  4.17630  0.42633  0.79983  0.00000  0.00000  0.00565 -0.00470
  5.04858  0.54223  0.69898  0.00000  0.00000  0.02476 -0.00651
  4.64742  0.52838  0.74816  0.00000  0.00000  0.02648  0.03692
  5.49656  0.57722  0.64003  0.00000  0.00000 -0.00052 -0.04455
  3.22558  0.28122  0.88234  0.00000  0.00000 -0.00978 -0.02035
  4.55794  0.46656  0.75681  0.00000  0.00000  0.01003 -0.01508
  5.30408  0.54174  0.65936  0.00000  0.00000 -0.03504 -0.05442
  2.98040  0.28311  0.89854  0.00000  0.00000 -0.00279  0.01607
  5.39880  0.59128  0.64774  0.00000  0.00000 -0.03416 -0.02134
  5.07593  0.48906  0.69670  0.00000  0.00000  0.03427 -0.06175
  2.98000  0.28317  0.89762  0.00000  0.00000 -0.01942  0.01416
  5.33528  0.53073  0.65780  0.00000  0.00000 -0.01551 -0.06831
  4.22467  0.45191  0.79530  0.00000  0.00000  0.01325  0.01482
  5.14847  0.58063  0.68345  0.00000  0.00000  0.00245  0.01482
  4.42906  0.45293  0.77131  0.00000  0.00000  0.00622 -0.01302
  4.97507  0.50587  0.70257  0.00000  0.00000 -0.02053 -0.03787
  4.93700  0.55464  0.70777  0.00000  0.00000 -0.01674  0.01751
  3.08462  0.26487  0.89382  0.00000  0.00000  0.02206 -0.01211
  4.49442  0.52134  0.76209  0.00000  0.00000 -0.00769  0.04516
  5.31318  0.64513  0.65473  0.00000  0.00000 -0.06335  0.04381
  4.76654  0.49005  0.73416  0.00000  0.00000  0.02886 -0.01675
  4.62974  0.54629  0.74856  0.00000  0.00000  0.01226  0.05514
  3.11836  0.27035  0.88946  0.00000  0.00000 -0.01058 -0.01616
  5.02008  0.51788  0.70421  0.00000  0.00000  0.03814 -0.02409
  5.36997  0.67185  0.65821  0.00000  0.00000  0.02224  0.07357
  3.59943  0.36570  0.85274  0.00000  0.00000 -0.02851  0.00851
  2.71924  0.24933  0.91105  0.00000  0.00000  0.00891 -0.00150
  3.01846  0.28215  0.89638  0.00000  0.00000 -0.00236  0.01055
  5.39911  0.63763  0.64895  0.00000  0.00000 -0.02453  0.02775
