#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.61330  0.59583  0.78951  0.00000  0.00000  0.01882  0.01493
  3.83136  0.54331  0.86134  0.00000  0.00000 -0.00511  0.02788
  0.11440  0.46909  0.93057  0.00000  0.57695 -0.00705 -0.00231
  5.01646  0.65244  0.74426  0.00000  0.00000  0.01679  0.01510
  5.01631  0.64985  0.74004  0.00000  0.00000 -0.02127  0.00566
  5.25266  0.62838  0.72427  0.00000  0.00000  0.07010 -0.04078
  3.60177  0.51179  0.87727  0.00000  0.00000 -0.02827  0.00295
  4.39255  0.56730  0.81047  0.00000  0.00000 -0.00271  0.00927
  4.54288  0.54369  0.79677  0.00000  0.00000  0.01481 -0.02877
  4.53604  0.58208  0.79460  0.00000  0.00000 -0.01208  0.00751
  5.21352  0.62270  0.72294  0.00000  0.00000  0.01860 -0.04894
  5.30953  0.67122  0.71496  0.00000  0.00000  0.04107 -0.01579
  4.83036  0.61968  0.76290  0.00000  0.00000 -0.00252  0.00741
  4.02642  0.53915  0.84709  0.00000  0.00000  0.02596  0.01364
  2.04034  0.73141  0.92263  0.00000  0.00000 -0.01371  0.00891
  4.64557  0.61102  0.78152  0.00000  0.00000 -0.02127  0.02118
  4.53222  0.56635  0.79708  0.00000  0.00000  0.00711 -0.00588
  3.56763  0.47749  0.88183  0.00000  0.00000  0.00571 -0.03177
  0.66696  0.76575  0.92714  0.00000  0.00000  0.01141 -0.00711
  5.14907  0.68196  0.72897  0.00000  0.00000  0.01063  0.01938
  4.66905  0.61286  0.78278  0.00000  0.00000  0.01352  0.02438
  4.85358  0.55528  0.76270  0.00000  0.00000  0.01895 -0.05721
  5.42251  0.65055  0.69720  0.00000  0.00000 -0.01247 -0.07071
  3.21035  0.50530  0.90188  0.00000  0.00000 -0.00286 -0.02183
  5.42857  0.73607  0.70402  0.00000  0.00000  0.05672  0.02788
  4.76307  0.56715  0.77268  0.00000  0.00000  0.01728 -0.03285
  4.75286  0.62090  0.77331  0.00000  0.00000  0.01263  0.02178
  4.52702  0.58190  0.80091  0.00000  0.00000  0.03819  0.01402
  4.10910  0.51913  0.83725  0.00000  0.00000 -0.00438 -0.01486
  3.14187  0.52600  0.90450  0.00000  0.00000 -0.01881 -0.00936
  4.57580  0.56980  0.79183  0.00000  0.00000  0.00224 -0.00819
  4.24411  0.54600  0.82719  0.00000  0.00000  0.02105  0.00303
  4.64911  0.57813  0.78410  0.00000  0.00000  0.00513 -0.00848
  4.99182  0.66257  0.74600  0.00000  0.00000  0.00775  0.02771
  4.77322  0.56627  0.77707  0.00000  0.00000  0.06637 -0.02821
  3.89345  0.51364  0.85549  0.00000  0.00000 -0.00812 -0.00564
  3.65340  0.50659  0.87552  0.00000  0.00000 -0.00142 -0.00313
  4.44476  0.49963  0.80430  0.00000  0.00000 -0.01139 -0.06445
  3.04644  0.59748  0.90974  0.00000  0.00000 -0.01112  0.02794
  5.48945  0.76709  0.69367  0.00000  0.00000  0.02201  0.04027
  4.25102  0.53935  0.82517  0.00000  0.00000  0.00590 -0.00505
  5.04633  0.63461  0.74183  0.00000  0.00000  0.02473 -0.00649
  4.67901  0.62563  0.78316  0.00000  0.00000  0.02687  0.03770
  5.49642  0.68788  0.69051  0.00000  0.00000 -0.00052 -0.04454
  3.43257  0.48994  0.88932  0.00000  0.00000 -0.01026 -0.02094
  4.59770  0.56440  0.79029  0.00000  0.00000  0.01023 -0.01550
  5.30352  0.64655  0.70755  0.00000  0.00000 -0.03503 -0.05439
  3.21779  0.54295  0.90151  0.00000  0.00000 -0.00295  0.01662
  5.39960  0.69968  0.69734  0.00000  0.00000 -0.03418 -0.02135
  5.07323  0.58284  0.73988  0.00000  0.00000  0.03421 -0.06155
  3.21320  0.53950  0.90082  0.00000  0.00000 -0.02056  0.01463
  5.33629  0.63468  0.70618  0.00000  0.00000 -0.01552 -0.06837
  4.29669  0.56326  0.82154  0.00000  0.00000  0.01380  0.01582
  5.14524  0.67792  0.72851  0.00000  0.00000  0.00245  0.01477
  4.48315  0.55285  0.80216  0.00000  0.00000  0.00639 -0.01358
  4.97357  0.59801  0.74490  0.00000  0.00000 -0.02051 -0.03784
  4.93764  0.64715  0.74932  0.00000  0.00000 -0.01674  0.01752
  3.31287  0.50634  0.89797  0.00000  0.00000  0.02329 -0.01250
  4.53995  0.62123  0.79463  0.00000  0.00000 -0.00786  0.04670
  5.31360  0.75312  0.70349  0.00000  0.00000 -0.06337  0.04383
  4.78532  0.58429  0.77154  0.00000  0.00000  0.02910 -0.01695
  4.66168  0.64379  0.78350  0.00000  0.00000  0.01245  0.05633
  3.33885  0.49797  0.89469  0.00000  0.00000 -0.01114 -0.01666
  5.01945  0.61059  0.74630  0.00000  0.00000  0.03813 -0.02407
  5.37056  0.77610  0.70654  0.00000  0.00000  0.02224  0.07361
  3.74500  0.52180  0.86670  0.00000  0.00000 -0.02941  0.00868
  3.04839  0.58124  0.91083  0.00000  0.00000  0.00970 -0.00157
  3.24984  0.53379  0.89989  0.00000  0.00000 -0.00249  0.01090
  5.40005  0.74678  0.69840  0.00000  0.00000 -0.02454  0.02777
  3.88799  0.53125  0.85788  0.00000  0.00000  0.01424  0.01332
  5.38232  0.68939  0.69933  0.00000  0.00000 -0.03384 -0.02788
  4.75834  0.53495  0.77134  0.00000  0.00000  0.00030 -0.06649
  3.17690  0.55080  0.90344  0.00000  0.00000 -0.00508  0.01901
  5.35871  0.54332  0.70863  0.00000  0.00000  0.03059 -0.15593
  4.54045  0.55864  0.79671  0.00000  0.00000  0.01189 -0.01385
  4.11270  0.55911  0.83755  0.00000  0.00000  0.00264  0.02524
  5.20743  0.61786  0.72116  0.00000  0.00000 -0.00305 -0.05778
  5.23829  0.70624  0.72163  0.00000  0.00000  0.03196  0.03165
  5.39929  0.70610  0.69778  0.00000  0.00000 -0.03060 -0.01407
  5.31617  0.62055  0.71032  0.00000  0.00000  0.00381 -0.07462
  5.43478  0.62953  0.69695  0.00000  0.00000 -0.00259 -0.09207
  4.26951  0.56411  0.82385  0.00000  0.00000  0.01055  0.01841
  5.27827  0.68048  0.71212  0.00000  0.00000 -0.01737 -0.01156
  4.22518  0.52058  0.82629  0.00000  0.00000 -0.00775 -0.02308
  3.03925  0.57058  0.90953  0.00000  0.00000 -0.02192  0.00294
  4.14040  0.54920  0.83190  0.00000  0.00000 -0.03210  0.01090
  2.92149  0.66219  0.91564  0.00000  0.00000  0.00147 -0.00182
  4.10440  0.56115  0.83494  0.00000  0.00000 -0.03479  0.02559
  1.35924  0.71589  0.92540  0.00000  0.00000 -0.01377 -0.02516
  3.46739  0.53673  0.88829  0.00000  0.00000  0.00734  0.02649
  5.26913  0.70774  0.71427  0.00000  0.00000 -0.00591  0.01962
  3.17814  0.52698  0.90330  0.00000  0.00000 -0.00655 -0.00436
  3.75277  0.49649  0.86835  0.00000  0.00000 -0.00016 -0.01587
  4.52748  0.58105  0.79831  0.00000  0.00000  0.01398  0.01000
  5.01602  0.64215  0.74592  0.00000  0.00000  0.03118  0.00726
  5.04750  0.65876  0.73983  0.00000  0.00000  0.00798  0.01434
  5.44956  0.77237  0.69843  0.00000  0.00000  0.02523  0.05342
  5.49356  0.77588  0.69400  0.00000  0.00000  0.02893  0.04991
  4.34667  0.57524  0.81505  0.00000  0.00000 -0.00281  0.02156
  4.49084  0.56693  0.79957  0.00000  0.00000 -0.01073 -0.00255
  4.06703  0.54528  0.83854  0.00000  0.00000 -0.03182  0.01234
  5.49406  0.80947  0.69414  0.00000  0.00000  0.03062  0.08385
  3.51038  0.49931  0.88452  0.00000  0.00000 -0.01038 -0.00956
  5.05831  0.63496  0.73987  0.00000  0.00000  0.01913 -0.00945
  5.06826  0.69773  0.73431  0.00000  0.00000 -0.02197  0.04536
  4.22810  0.54476  0.82715  0.00000  0.00000  0.00455  0.00175
  4.31337  0.55987  0.81750  0.00000  0.00000 -0.01087  0.00815
  5.38478  0.71229  0.70264  0.00000  0.00000 -0.00050  0.00162
  5.19534  0.73836  0.72380  0.00000  0.00000  0.00838  0.06864
  4.79953  0.63575  0.76497  0.00000  0.00000 -0.01500  0.02595
  4.67977  0.59610  0.77864  0.00000  0.00000 -0.01312  0.00341
  5.33632  0.69610  0.70962  0.00000  0.00000  0.01768 -0.00076
  5.45554  0.65006  0.69802  0.00000  0.00000  0.02768 -0.06967
  5.28259  0.71379  0.71506  0.00000  0.00000  0.01513  0.02692
  3.79810  0.51425  0.86538  0.00000  0.00000  0.00736 -0.00011
  5.41334  0.70216  0.69979  0.00000  0.00000  0.00139 -0.01424
  5.27948  0.67849  0.71727  0.00000  0.00000  0.03204 -0.00371
  4.15475  0.50872  0.83107  0.00000  0.00000 -0.02689 -0.03059
  5.18309  0.64780  0.72697  0.00000  0.00000  0.02595 -0.01727
  4.72394  0.53215  0.77188  0.00000  0.00000 -0.02919 -0.06872
  5.22942  0.70308  0.71841  0.00000  0.00000 -0.00717  0.02300
  5.19091  0.74682  0.72188  0.00000  0.00000 -0.01332  0.07276
  4.61909  0.60196  0.78589  0.00000  0.00000 -0.00867  0.01752
  4.27421  0.54529  0.82042  0.00000  0.00000 -0.02007 -0.00379
 -1.19410  0.92439  0.92948  0.00000  0.00000  0.00255  0.00631
  5.31382  0.67272  0.71176  0.00000  0.00000  0.01470 -0.01983
  4.18043  0.53862  0.83161  0.00000  0.00000  0.00474 -0.00003
  4.16101  0.50659  0.83454  0.00000  0.00000  0.01751 -0.02951
  4.90158  0.62350  0.75729  0.00000  0.00000  0.01886  0.00444
  3.59617  0.51362  0.88117  0.00000  0.00000  0.02402  0.00451
  4.74693  0.61247  0.77300  0.00000  0.00000  0.00396  0.01292
  4.14323  0.52919  0.83674  0.00000  0.00000  0.02372 -0.00502
  3.87921  0.51301  0.85833  0.00000  0.00000  0.01046 -0.00471
  5.32606  0.63269  0.70704  0.00000  0.00000 -0.01743 -0.06904
  3.09739  0.55373  0.90778  0.00000  0.00000  0.00274  0.00167
  0.20745  0.80399  0.92786  0.00000  0.00000  0.00462  0.00306
  4.74719  0.60686  0.77654  0.00000  0.00000  0.03561  0.01182
  5.08598  0.61260  0.73329  0.00000  0.00000 -0.01371 -0.04168
  3.78377  0.50528  0.86622  0.00000  0.00000  0.00316 -0.00819
  4.12189  0.51416  0.83732  0.00000  0.00000  0.00913 -0.01981
  4.35962  0.51378  0.81397  0.00000  0.00000 -0.00083 -0.04092
  3.70330  0.50045  0.87301  0.00000  0.00000  0.01370 -0.01059
  4.82836  0.58786  0.76295  0.00000  0.00000 -0.00405 -0.02434
  3.96023  0.51685  0.85174  0.00000  0.00000  0.01444 -0.00526
  3.59528  0.52214  0.87796  0.00000  0.00000 -0.02470  0.01312
  4.93316  0.64215  0.75219  0.00000  0.00000  0.00472  0.01639
  4.89031  0.66019  0.75645  0.00000  0.00000  0.00025  0.03982
  3.10366  0.57287  0.90777  0.00000  0.00000  0.00883  0.02078
  4.13830  0.53300  0.83623  0.00000  0.00000  0.01307 -0.00152
  3.91678  0.51885  0.85263  0.00000  0.00000 -0.01811 -0.00281
  4.47659  0.57308  0.79892  0.00000  0.00000 -0.03112  0.00280
  5.21654  0.69492  0.72351  0.00000  0.00000  0.02693  0.02469
  4.60474  0.54779  0.78841  0.00000  0.00000  0.00027 -0.03419
  3.38878  0.53937  0.89171  0.00000  0.00000 -0.01370  0.02721
  4.31060  0.55280  0.82088  0.00000  0.00000  0.02105  0.00440
  4.05372  0.55477  0.84367  0.00000  0.00000  0.01382  0.02647
  4.26145  0.53595  0.82372  0.00000  0.00000  0.00119 -0.00990
  4.96052  0.64832  0.74998  0.00000  0.00000  0.01186  0.01986
  3.35298  0.50835  0.89455  0.00000  0.00000  0.00044 -0.00619
  4.86029  0.65757  0.75763  0.00000  0.00000 -0.01951  0.03902
  4.26990  0.57205  0.82474  0.00000  0.00000  0.02014  0.02735
  5.07343  0.65389  0.73288  0.00000  0.00000 -0.03003 -0.00082
  4.21256  0.52712  0.82776  0.00000  0.00000 -0.00428 -0.01542
  3.88211  0.51670  0.85680  0.00000  0.00000 -0.00429 -0.00187
  3.26242  0.51308  0.90026  0.00000  0.00000  0.01750 -0.01061
  4.32273  0.57166  0.81695  0.00000  0.00000 -0.00728  0.01961
  5.21149  0.77162  0.71897  0.00000  0.00000 -0.01976  0.09227
  4.30134  0.49943  0.82240  0.00000  0.00000  0.02733 -0.04747
  4.25498  0.50458  0.82455  0.00000  0.00000  0.00327 -0.04033
  4.52149  0.61046  0.79714  0.00000  0.00000 -0.00305  0.03828
  3.94099  0.50105  0.85142  0.00000  0.00000 -0.00875 -0.02122
  4.41462  0.55074  0.80710  0.00000  0.00000 -0.01392 -0.01123
  3.99988  0.53706  0.84735  0.00000  0.00000  0.00249  0.01168
  5.23852  0.65125  0.72070  0.00000  0.00000  0.02371 -0.02545
  3.87249  0.56291  0.85543  0.00000  0.00000 -0.02974  0.04359
  5.44843  0.73447  0.69388  0.00000  0.00000 -0.01721  0.00820
  4.46547  0.58430  0.80149  0.00000  0.00000 -0.01770  0.01710
  4.18970  0.54346  0.83228  0.00000  0.00000  0.02138  0.00563
  4.64010  0.64112  0.77894  0.00000  0.00000 -0.05016  0.04878
  0.12295  0.51464  0.93141  0.00000  0.59005  0.00149  0.00517
  3.79531  0.51953  0.86419  0.00000  0.00000 -0.00975  0.00463
  3.64885  0.48560  0.87560  0.00000  0.00000 -0.00485 -0.02401
  3.89322  0.50584  0.85515  0.00000  0.00000 -0.01218 -0.01361
  5.24883  0.62505  0.71396  0.00000  0.00000 -0.02912 -0.06379
  4.28733  0.54195  0.81974  0.00000  0.00000 -0.01382 -0.00800
  4.48509  0.59950  0.80076  0.00000  0.00000 -0.00515  0.03145
  4.84969  0.61973  0.75944  0.00000  0.00000 -0.01454  0.00385
  4.72658  0.63755  0.78089  0.00000  0.00000  0.05403  0.04718
  5.19296  0.62186  0.72303  0.00000  0.00000 -0.00108 -0.04954
  3.23652  0.52036  0.89997  0.00000  0.00000 -0.01424 -0.00271
  3.97062  0.52837  0.84908  0.00000  0.00000 -0.00592  0.00417
  5.41358  0.66929  0.70145  0.00000  0.00000  0.01755 -0.04415
  4.68281  0.56970  0.78123  0.00000  0.00000  0.01337 -0.02038
  4.42523  0.53989  0.80715  0.00000  0.00000 -0.00278 -0.02203
  5.29572  0.73614  0.71100  0.00000  0.00000 -0.01067  0.04252
  4.07091  0.51225  0.84244  0.00000  0.00000  0.01669 -0.01755
  3.92441  0.50146  0.85351  0.00000  0.00000  0.00016 -0.01975
  5.35086  0.71810  0.70818  0.00000  0.00000  0.01839  0.01809
  4.16941  0.51266  0.83361  0.00000  0.00000  0.01577 -0.02458
  4.91967  0.66285  0.75221  0.00000  0.00000 -0.00859  0.03712
  5.16232  0.65052  0.72631  0.00000  0.00000 -0.00100 -0.01587
  3.80797  0.50096  0.86500  0.00000  0.00000  0.01266 -0.01360
  3.97959  0.52371  0.85032  0.00000  0.00000  0.01723  0.00087
  5.22648  0.64742  0.71908  0.00000  0.00000 -0.00367 -0.03179
  4.69114  0.57720  0.78299  0.00000  0.00000  0.03751 -0.01097
  4.99463  0.64042  0.74730  0.00000  0.00000  0.02247  0.00739
  3.20258  0.52230  0.90197  0.00000  0.00000 -0.00891 -0.00501
  4.55222  0.55992  0.79499  0.00000  0.00000  0.00759 -0.01417
  4.35168  0.56891  0.81573  0.00000  0.00000  0.00908  0.01587
 -0.09409  0.65206  0.93051  0.00000  0.60776  0.00733  0.00717
  4.12796  0.50290  0.83433  0.00000  0.00000 -0.01789 -0.03350
  5.42167  0.70292  0.70020  0.00000  0.00000  0.01360 -0.01275
  4.28630  0.50440  0.82219  0.00000  0.00000  0.01015 -0.04262
  4.47511  0.59732  0.80177  0.00000  0.00000 -0.00543  0.03044
  5.27031  0.66457  0.71619  0.00000  0.00000  0.01314 -0.02019
  3.87578  0.54919  0.85914  0.00000  0.00000  0.01609  0.03188
  5.13469  0.60682  0.73420  0.00000  0.00000  0.04341 -0.04580
  4.47732  0.56479  0.80335  0.00000  0.00000  0.01201 -0.00024
  5.26733  0.74302  0.71260  0.00000  0.00000 -0.02368  0.05163
  3.23161  0.54565  0.90173  0.00000  0.00000  0.01536  0.01884
  4.89119  0.59528  0.75561  0.00000  0.00000 -0.00628 -0.02642
  4.47479  0.55200  0.80174  0.00000  0.00000 -0.00599 -0.01491
  4.57425  0.60750  0.78994  0.00000  0.00000 -0.01636  0.02715
  0.37675  0.79391  0.92759  0.00000  0.00000 -0.00751  0.00416
  4.73942  0.60225  0.77669  0.00000  0.00000  0.02917  0.00736
  4.48797  0.52188  0.80002  0.00000  0.00000 -0.00938 -0.04704
  5.48198  0.81813  0.69569  0.00000  0.00000  0.03291  0.09482
  4.32272  0.53891  0.82041  0.00000  0.00000  0.02834 -0.01018
  4.35422  0.57616  0.81082  0.00000  0.00000 -0.03760  0.01848
  5.34631  0.69010  0.70778  0.00000  0.00000  0.00996 -0.01051
  5.47356  0.78004  0.69475  0.00000  0.00000  0.01555  0.05564
  0.03513  0.58533  0.93114  0.00000  0.60264  0.00316  0.00464
  3.30456  0.51574  0.89826  0.00000  0.00000  0.02039 -0.00370
  3.87514  0.54403  0.85737  0.00000  0.00000 -0.00442  0.02583
  4.89495  0.64318  0.75902  0.00000  0.00000  0.02711  0.02668
  3.36926  0.51110  0.89378  0.00000  0.00000  0.00302 -0.00267
  4.58043  0.56067  0.78866  0.00000  0.00000 -0.02175 -0.02110
  4.87788  0.62475  0.75821  0.00000  0.00000  0.00310  0.00706
  4.85309  0.64672  0.76137  0.00000  0.00000  0.00632  0.03290
