#      BASTI - SYNTHETIC COLOR-MAGNITUDE DIAGRAM - v. 1.0 
#===============================================================
#   mag      col     Mass     var1     var2     Dmag     Dcol
#===============================================================
  4.41416  0.53077  0.83653  0.00000  0.00000  0.01705  0.01289
  3.43259  0.44380  0.96358  0.00000  0.00000 -0.00469  0.02646
  0.91165  0.00811  1.10331  0.00000  0.57695 -0.00841 -0.00276
  4.91739  0.59858  0.76416  0.00000  0.00000  0.01612  0.01412
  4.92682  0.59683  0.75768  0.00000  0.00000 -0.02036  0.00532
  5.18837  0.58142  0.73382  0.00000  0.00000  0.06775 -0.03823
  3.17528  0.40575  0.99408  0.00000  0.00000 -0.02565  0.00279
  4.14333  0.49589  0.87196  0.00000  0.00000 -0.00236  0.00740
  4.32478  0.48372  0.84866  0.00000  0.00000  0.01323 -0.02424
  4.32630  0.51700  0.84502  0.00000  0.00000 -0.01084  0.00637
  5.15336  0.57692  0.73183  0.00000  0.00000  0.01800 -0.04597
  5.26565  0.62302  0.72000  0.00000  0.00000  0.04016 -0.01515
  4.69638  0.56294  0.79333  0.00000  0.00000 -0.00238  0.00682
  3.68026  0.45146  0.93705  0.00000  0.00000  0.02417  0.01269
  1.64497  0.68079  1.08628  0.00000  0.00000 -0.01270  0.00832
  4.47078  0.54737  0.82336  0.00000  0.00000 -0.01953  0.01869
  4.31425  0.50278  0.84918  0.00000  0.00000  0.00635 -0.00495
  3.12511  0.36826  1.00298  0.00000  0.00000  0.00516 -0.02991
  0.05091  0.73520  1.09591  0.00000  0.00000  0.00990 -0.00618
  5.07829  0.62924  0.74088  0.00000  0.00000  0.01021  0.01790
  4.48765  0.54889  0.82542  0.00000  0.00000  0.01239  0.02146
  4.71868  0.50375  0.79302  0.00000  0.00000  0.01787 -0.05266
  5.41102  0.60332  0.69420  0.00000  0.00000 -0.01241 -0.07003
  2.67526  0.37607  1.04308  0.00000  0.00000 -0.00250 -0.02021
  5.40552  0.68952  0.70402  0.00000  0.00000  0.05609  0.02734
  4.60696  0.51184  0.80900  0.00000  0.00000  0.01609 -0.02966
  4.59556  0.56024  0.81001  0.00000  0.00000  0.01174  0.01964
  4.29564  0.51380  0.85564  0.00000  0.00000  0.03383  0.01165
  3.79281  0.43983  0.91915  0.00000  0.00000 -0.00391 -0.01282
  2.58741  0.39209  1.04842  0.00000  0.00000 -0.01629 -0.00864
  4.37216  0.50739  0.84040  0.00000  0.00000  0.00202 -0.00701
  3.95066  0.46864  0.90116  0.00000  0.00000  0.01808  0.00233
  4.46479  0.51836  0.82759  0.00000  0.00000  0.00469 -0.00744
  4.88953  0.60783  0.76685  0.00000  0.00000  0.00744  0.02617
  4.60217  0.51065  0.81611  0.00000  0.00000  0.06138 -0.02523
  3.52094  0.42044  0.95260  0.00000  0.00000 -0.00750 -0.00537
  3.22994  0.40105  0.99068  0.00000  0.00000 -0.00129 -0.00296
  4.21113  0.44416  0.86140  0.00000  0.00000 -0.01002 -0.05275
  2.42226  0.44598  1.05923  0.00000  0.00000 -0.00941  0.02546
  5.48304  0.71925  0.68914  0.00000  0.00000  0.02194  0.04007
  3.96422  0.46476  0.89757  0.00000  0.00000  0.00503 -0.00387
  4.95079  0.58292  0.76043  0.00000  0.00000  0.02370 -0.00596
  4.49560  0.55999  0.82606  0.00000  0.00000  0.02461  0.03316
  5.49575  0.64036  0.68465  0.00000  0.00000 -0.00052 -0.04452
  2.96554  0.37248  1.01778  0.00000  0.00000 -0.00918 -0.01962
  4.39770  0.50330  0.83784  0.00000  0.00000  0.00925 -0.01335
  5.27495  0.60098  0.70916  0.00000  0.00000 -0.03452 -0.05295
  2.68552  0.41093  1.04231  0.00000  0.00000 -0.00258  0.01539
  5.38804  0.65203  0.69439  0.00000  0.00000 -0.03398 -0.02114
  4.98164  0.53611  0.75744  0.00000  0.00000  0.03275 -0.05570
  2.68873  0.40806  1.04091  0.00000  0.00000 -0.01800  0.01356
  5.30959  0.59034  0.70717  0.00000  0.00000 -0.01531 -0.06673
  4.01768  0.48582  0.89120  0.00000  0.00000  0.01166  0.01194
  5.07568  0.62576  0.74017  0.00000  0.00000  0.00235  0.01365
  4.25252  0.48924  0.85776  0.00000  0.00000  0.00565 -0.01121
  4.87444  0.54779  0.76514  0.00000  0.00000 -0.01969 -0.03578
  4.83012  0.59318  0.77199  0.00000  0.00000 -0.01600  0.01646
  2.79932  0.38133  1.03513  0.00000  0.00000  0.02052 -0.01162
  4.32966  0.55019  0.84507  0.00000  0.00000 -0.00705  0.03960
  5.29281  0.70642  0.70326  0.00000  0.00000 -0.06270  0.04300
  4.63049  0.52815  0.80715  0.00000  0.00000  0.02713 -0.01533
  4.47871  0.57579  0.82660  0.00000  0.00000  0.01139  0.04948
  2.84720  0.37608  1.02852  0.00000  0.00000 -0.00988 -0.01555
  4.91545  0.55867  0.76731  0.00000  0.00000  0.03656 -0.02241
